epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.417,0.88898,2.71151,1.05811,0.25282,0.25647,0.17481,0.12624,0.97032,2.7154,1.13836,0.000367371,0.000367371,0.000367371
2,246.852,0.94893,2.19285,1.08153,0.22081,0.31748,0.19418,0.14417,1.05496,2.71796,1.19403,0.000730401,0.000730401,0.000730401
3,367.954,1.05027,2.12721,1.12205,0.27923,0.22416,0.19001,0.13852,1.16366,2.48536,1.31083,0.0010861,0.0010861,0.0010861
4,490.994,1.01798,1.95537,1.11193,0.20568,0.29088,0.16833,0.1216,1.0767,2.29613,1.19066,0.001078,0.001078,0.001078
5,611.031,1.02378,1.8868,1.11611,0.41396,0.23558,0.23369,0.16928,1.10144,2.21697,1.21534,0.001067,0.001067,0.001067
6,734.97,0.99055,1.80977,1.09312,0.35172,0.27836,0.22848,0.16577,1.0776,2.12977,1.24238,0.00105601,0.00105601,0.00105601
7,858.178,0.96069,1.719,1.0851,0.30402,0.33175,0.25954,0.1901,1.02118,1.82369,1.15559,0.00104501,0.00104501,0.00104501
8,982.057,0.95786,1.64093,1.08881,0.35398,0.30699,0.2661,0.20323,0.97642,1.84352,1.14837,0.00103401,0.00103401,0.00103401
9,1104.56,0.94546,1.63207,1.07518,0.34313,0.36638,0.27629,0.21179,0.99578,1.80609,1.13905,0.00102301,0.00102301,0.00102301
10,1226.12,0.89088,1.54418,1.04977,0.57417,0.30169,0.29265,0.22605,0.98628,1.71217,1.13046,0.00101201,0.00101201,0.00101201
11,1347.43,0.8811,1.50048,1.05499,0.29171,0.31778,0.24454,0.19243,0.95274,1.90076,1.11722,0.00100101,0.00100101,0.00100101
12,1467.15,0.87948,1.52272,1.04738,0.30189,0.31737,0.27783,0.22,0.93557,1.73689,1.10635,0.000990012,0.000990012,0.000990012
13,1584.94,0.87499,1.46393,1.04532,0.37097,0.35343,0.32202,0.25869,0.89862,1.56519,1.07182,0.000979013,0.000979013,0.000979013
14,1702.68,0.84886,1.43419,1.02908,0.4008,0.30559,0.28619,0.22308,0.9078,1.66302,1.09496,0.000968014,0.000968014,0.000968014
15,1819.99,0.84359,1.41934,1.02729,0.35786,0.32703,0.27886,0.22337,0.88997,1.72717,1.0795,0.000957015,0.000957015,0.000957015
16,1938.81,0.83407,1.41335,1.02691,0.4232,0.30938,0.30723,0.24684,0.89021,1.57971,1.06778,0.000946016,0.000946016,0.000946016
17,2055,0.82201,1.3901,1.01026,0.53294,0.31909,0.30275,0.23188,0.91595,1.64024,1.08234,0.000935018,0.000935018,0.000935018
18,2173.81,0.82078,1.34622,1.01307,0.3898,0.31355,0.30764,0.24303,0.88282,1.66374,1.07915,0.000924019,0.000924019,0.000924019
19,2294.64,0.82101,1.33909,1.00547,0.36899,0.3634,0.31149,0.24959,0.84582,1.53347,1.04873,0.00091302,0.00091302,0.00091302
20,2414.59,0.81442,1.32893,1.02011,0.45319,0.27813,0.2891,0.22969,0.88953,1.7656,1.08702,0.000902021,0.000902021,0.000902021
21,2534.4,0.80542,1.28771,1.01148,0.57077,0.30994,0.31461,0.24762,0.883,1.56877,1.07611,0.000891022,0.000891022,0.000891022
22,2651.41,0.79703,1.28241,0.99799,0.5827,0.31769,0.32835,0.26289,0.86182,1.61501,1.05759,0.000880023,0.000880023,0.000880023
23,2771.51,0.80114,1.27167,1.00097,0.44033,0.36802,0.33612,0.26741,0.86775,1.5086,1.07279,0.000869024,0.000869024,0.000869024
24,2891.67,0.77507,1.25717,0.99328,0.4391,0.31821,0.32538,0.25676,0.87778,1.5446,1.07443,0.000858025,0.000858025,0.000858025
