epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3064,0.96481,2.84053,1.44342,0.21203,0.31349,0.20442,0.13361,1.01252,3.10478,1.56605,0.000367417,0.000367417,0.000367417
2,47.471,1.00925,2.31117,1.46138,0.23696,0.37241,0.2587,0.14565,1.4154,3.14419,1.88878,0.000723143,0.000723143,0.000723143
3,69.608,1.07842,2.15958,1.48382,0.55811,0.35636,0.34242,0.19979,1.22316,2.54678,1.72995,0.0010642,0.0010642,0.0010642
4,91.5241,1.06204,2.00877,1.48139,0.47027,0.31819,0.26801,0.15103,1.34397,2.51195,1.70615,0.00104501,0.00104501,0.00104501
5,113.584,1.04307,1.92107,1.46495,0.60797,0.39597,0.42301,0.28583,1.0653,1.99431,1.4959,0.00102301,0.00102301,0.00102301
6,135.902,0.99036,1.80053,1.43098,0.55944,0.42417,0.40457,0.26224,1.20094,2.08573,1.61412,0.00100101,0.00100101,0.00100101
7,158.183,0.99785,1.75337,1.43324,0.45719,0.4896,0.45415,0.3044,1.11314,1.81946,1.52305,0.000979013,0.000979013,0.000979013
8,180.647,0.95693,1.70101,1.40798,0.34305,0.45754,0.33231,0.23004,1.06653,2.15761,1.51318,0.000957015,0.000957015,0.000957015
9,202.818,0.94187,1.63653,1.38876,0.38396,0.52166,0.43133,0.30345,1.00652,1.87553,1.43424,0.000935018,0.000935018,0.000935018
10,225.227,0.9186,1.63408,1.37177,0.48852,0.51031,0.51687,0.38222,0.93956,1.63845,1.38889,0.00091302,0.00091302,0.00091302
11,247.485,0.9231,1.58032,1.36909,0.55728,0.53141,0.54511,0.39446,0.95614,1.55779,1.40477,0.000891022,0.000891022,0.000891022
12,269.632,0.90357,1.56588,1.36625,0.51168,0.50652,0.49239,0.37283,0.91141,1.66903,1.36224,0.000869024,0.000869024,0.000869024
