epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.3441,0.89505,2.71692,1.06566,0.23335,0.20206,0.15429,0.11508,0.96438,2.86285,1.11089,0.000367371,0.000367371,0.000367371
2,123.914,0.94874,2.21258,1.08553,0.35723,0.17255,0.11697,0.07805,1.17723,3.47645,1.24935,0.000730401,0.000730401,0.000730401
3,185.652,1.03744,2.1007,1.12403,0.20098,0.25934,0.166,0.11564,1.17587,2.60242,1.26637,0.0010861,0.0010861,0.0010861
4,246.896,1.06351,1.99533,1.13073,0.25389,0.26521,0.17953,0.1291,1.13508,2.43976,1.25173,0.001078,0.001078,0.001078
5,307.08,0.9837,1.85164,1.09943,0.28194,0.22734,0.16165,0.11477,1.13133,2.28147,1.20166,0.001067,0.001067,0.001067
6,368.662,0.97259,1.7645,1.08884,0.29082,0.22934,0.22173,0.1687,1.0297,2.22143,1.14971,0.00105601,0.00105601,0.00105601
7,429.872,0.98435,1.74081,1.09439,0.23642,0.25124,0.19876,0.14868,1.02666,1.9871,1.141,0.00104501,0.00104501,0.00104501
8,492.016,0.94265,1.66152,1.07541,0.31087,0.28877,0.21168,0.15592,1.07307,2.29007,1.18939,0.00103401,0.00103401,0.00103401
9,553.555,0.91442,1.59119,1.05969,0.31098,0.29763,0.23267,0.17231,1.0171,1.93086,1.14967,0.00102301,0.00102301,0.00102301
10,614.106,0.90757,1.55559,1.05734,0.43632,0.28341,0.2704,0.21062,0.95121,1.70888,1.1047,0.00101201,0.00101201,0.00101201
11,675.047,0.88911,1.51123,1.05605,0.47197,0.27883,0.25643,0.19449,0.99332,1.83711,1.13168,0.00100101,0.00100101,0.00100101
12,736.264,0.89804,1.51632,1.05609,0.24748,0.33392,0.23133,0.17537,0.9498,1.83483,1.11134,0.000990012,0.000990012,0.000990012
