epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.108,0.67748,2.77417,1.16525,0.46763,0.1867,0.11921,0.04622,1.29685,3.80839,1.15694,0.000366667,0.000366667,0.000366667
2,197.218,0.61068,1.92859,1.10261,0.13624,0.2715,0.10912,0.06775,0.91039,3.32539,0.84582,0.00073092,0.00073092,0.00073092
3,279.162,0.60346,1.72986,1.10261,0.24805,0.26449,0.17562,0.10649,0.95611,3.25967,0.90101,0.00108906,0.00108906,0.00108906
4,359.87,0.62109,1.64329,1.10927,0.23754,0.32353,0.21398,0.16188,0.93403,2.43692,0.86125,0.0010835,0.0010835,0.0010835
5,440.41,0.58106,1.52704,1.0989,0.44143,0.31326,0.29024,0.2578,0.82411,2.22119,0.8144,0.00107434,0.00107434,0.00107434
6,519.179,0.56765,1.46273,1.08081,0.45405,0.38609,0.37695,0.30535,0.86614,1.81306,0.75588,0.00106517,0.00106517,0.00106517
7,598.01,0.5533,1.42145,1.07165,0.47168,0.36721,0.35208,0.3099,0.75549,1.86215,0.74864,0.00105601,0.00105601,0.00105601
8,676.382,0.55444,1.38166,1.07201,0.40864,0.37146,0.35394,0.31313,0.74539,1.81511,0.7216,0.00104684,0.00104684,0.00104684
9,753.337,0.51656,1.33495,1.05806,0.41747,0.35497,0.34529,0.30747,0.70553,1.68433,0.71597,0.00103767,0.00103767,0.00103767
10,830.861,0.50223,1.28147,1.04375,0.47402,0.37302,0.37554,0.33635,0.7558,1.69361,0.71949,0.00102851,0.00102851,0.00102851
11,912.621,0.51353,1.27661,1.04548,0.54175,0.37504,0.38789,0.3321,0.77703,1.53927,0.73975,0.00101934,0.00101934,0.00101934
12,992.173,0.49947,1.23671,1.04339,0.51486,0.3581,0.38485,0.32487,0.74392,1.56372,0.75658,0.00101018,0.00101018,0.00101018
13,1071.68,0.50195,1.21355,1.03193,0.49249,0.34881,0.35187,0.30751,0.67927,1.58995,0.7152,0.00100101,0.00100101,0.00100101
14,1153.22,0.50112,1.1952,1.04526,0.53147,0.41008,0.43422,0.39033,0.68579,1.31914,0.66317,0.000991845,0.000991845,0.000991845
15,1233.36,0.48181,1.18482,1.03392,0.58345,0.4066,0.43981,0.39821,0.71544,1.2788,0.70966,0.000982679,0.000982679,0.000982679
16,1311.67,0.47848,1.15647,1.02937,0.47113,0.42024,0.41265,0.36831,0.65218,1.53805,0.6339,0.000973514,0.000973514,0.000973514
17,1392.32,0.46582,1.13324,1.02519,0.73132,0.40193,0.4661,0.42603,0.65582,1.30726,0.64301,0.000964348,0.000964348,0.000964348
18,1472.96,0.46211,1.09847,1.01752,0.50239,0.39087,0.40356,0.33629,0.81565,1.53354,0.80111,0.000955182,0.000955182,0.000955182
19,1552.73,0.45258,1.11013,1.00996,0.55221,0.36666,0.39896,0.34473,0.70524,1.63496,0.69817,0.000946016,0.000946016,0.000946016
20,1632.29,0.4774,1.14108,1.02624,0.59433,0.41513,0.45121,0.40711,0.6976,1.34724,0.67935,0.000936851,0.000936851,0.000936851
21,1713.28,0.47004,1.10465,1.01785,0.64347,0.40912,0.46318,0.42321,0.61539,1.1984,0.62167,0.000927685,0.000927685,0.000927685
22,1794.63,0.45545,1.0488,1.01324,0.70098,0.41097,0.43704,0.40225,0.65088,1.30458,0.64841,0.000918519,0.000918519,0.000918519
23,1876.76,0.45911,1.09224,1.01267,0.60186,0.31928,0.32914,0.24911,0.91269,1.79037,0.90048,0.000909353,0.000909353,0.000909353
24,1960.56,0.46179,1.08541,1.02633,0.56919,0.40197,0.44461,0.3866,0.70816,1.36597,0.71297,0.000900188,0.000900188,0.000900188
25,2042.83,0.43858,1.02557,1.00222,0.5851,0.40438,0.43615,0.38378,0.65227,1.38038,0.66039,0.000891022,0.000891022,0.000891022
26,2125.15,0.44333,1.04008,1.01214,0.66306,0.40052,0.44503,0.40176,0.65568,1.28488,0.64473,0.000881856,0.000881856,0.000881856
27,2207.93,0.44896,1.03119,1.01388,0.6456,0.3217,0.35903,0.31028,0.71115,1.65338,0.71184,0.000872691,0.000872691,0.000872691
28,2287.37,0.46001,1.05771,1.00972,0.64952,0.42774,0.46634,0.41849,0.69785,1.24925,0.68114,0.000863525,0.000863525,0.000863525
29,2364.76,0.4321,1.01455,1.00087,0.64466,0.45363,0.49601,0.45466,0.63125,1.10162,0.62854,0.000854359,0.000854359,0.000854359
30,2444.98,0.43695,1.00607,0.99406,0.59846,0.39897,0.443,0.40081,0.65434,1.38546,0.65715,0.000845193,0.000845193,0.000845193
31,2527.3,0.43979,0.99427,1.00331,0.64449,0.43255,0.47747,0.43053,0.6454,1.17,0.65195,0.000836027,0.000836027,0.000836027
32,2606.49,0.43998,0.98316,1.00382,0.7124,0.4214,0.48618,0.44128,0.61103,1.16609,0.61794,0.000826862,0.000826862,0.000826862
33,2689.2,0.42925,0.97994,1.00211,0.77555,0.44897,0.51046,0.46246,0.62264,1.09806,0.62251,0.000817696,0.000817696,0.000817696
34,2769.33,0.42251,0.96378,0.99184,0.64086,0.39938,0.4299,0.38753,0.62254,1.37133,0.65315,0.00080853,0.00080853,0.00080853
35,2852.75,0.42745,0.96821,0.99569,0.7122,0.40601,0.47767,0.433,0.64577,1.21917,0.63066,0.000799365,0.000799365,0.000799365
36,2934.3,0.4193,0.93699,0.9931,0.65312,0.42649,0.49779,0.45249,0.63055,1.11268,0.64384,0.000790199,0.000790199,0.000790199
37,3019.75,0.43806,0.96853,0.99503,0.70621,0.41723,0.48711,0.43976,0.65624,1.20061,0.66536,0.000781033,0.000781033,0.000781033
38,3103.87,0.41608,0.94481,0.9846,0.63829,0.40582,0.46932,0.42507,0.63074,1.16822,0.62079,0.000771867,0.000771867,0.000771867
39,3188.12,0.4272,0.95116,0.9908,0.6953,0.43709,0.50697,0.45994,0.62031,1.05999,0.61999,0.000762702,0.000762702,0.000762702
40,3273.24,0.41795,0.9413,0.9885,0.79534,0.42943,0.48491,0.44371,0.60367,1.11143,0.60244,0.000753536,0.000753536,0.000753536
