epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.1942,1.55278,3.23079,1.43708,0.43123,0.14222,0.13994,0.08331,1.42716,3.48281,1.34821,0.00036436,0.00036436,0.00036436
2,88.0182,1.42444,2.22403,1.33627,0.56121,0.32456,0.30251,0.17852,1.54529,2.62912,1.4252,0.000728632,0.000728632,0.000728632
3,120.36,1.37793,2.02348,1.32405,0.34751,0.28226,0.25961,0.16185,1.53634,2.66973,1.48084,0.00108679,0.00108679,0.00108679
4,151.693,1.35561,1.91277,1.3062,0.48728,0.382,0.37129,0.23023,1.54866,2.58028,1.46854,0.0010835,0.0010835,0.0010835
5,184.517,1.35521,1.84302,1.31504,0.41922,0.41373,0.37563,0.23782,1.46232,2.69736,1.43307,0.00107434,0.00107434,0.00107434
6,216.966,1.32242,1.74567,1.29764,0.44052,0.42633,0.38441,0.24977,1.33977,2.11849,1.35184,0.00106517,0.00106517,0.00106517
7,249.106,1.29236,1.68168,1.2807,0.42638,0.41802,0.37734,0.22001,1.59671,2.53031,1.46055,0.00105601,0.00105601,0.00105601
8,281.317,1.2667,1.64283,1.26286,0.47457,0.41876,0.42069,0.28307,1.31841,2.78694,1.32602,0.00104684,0.00104684,0.00104684
9,313.209,1.2665,1.60026,1.25361,0.47587,0.38287,0.40585,0.27011,1.3401,2.1624,1.36484,0.00103767,0.00103767,0.00103767
10,345.019,1.23889,1.53042,1.24611,0.48101,0.47893,0.4554,0.31138,1.27826,1.81908,1.31613,0.00102851,0.00102851,0.00102851
11,377.302,1.22732,1.53783,1.23801,0.46312,0.47714,0.45677,0.30924,1.27835,2.04005,1.29869,0.00101934,0.00101934,0.00101934
12,409.444,1.22144,1.49258,1.23159,0.45574,0.46679,0.4651,0.31279,1.24699,2.00296,1.28365,0.00101018,0.00101018,0.00101018
