epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.237,0.82665,2.76797,1.21093,0.20391,0.24803,0.14879,0.10608,1.00162,3.30357,1.07537,0.000368061,0.000368061,0.000368061
2,335.356,0.83382,2.09696,1.20022,0.23551,0.30439,0.21332,0.13841,1.04577,2.54585,1.12102,0.000732303,0.000732303,0.000732303
3,476.208,0.87086,1.94084,1.2285,0.19787,0.2401,0.14209,0.09764,1.1212,2.75916,1.17576,0.00109043,0.00109043,0.00109043
4,617.08,0.86324,1.84842,1.22744,0.37244,0.24564,0.1899,0.12917,1.18643,2.68244,1.23931,0.0010835,0.0010835,0.0010835
5,756.166,0.82709,1.7362,1.20138,0.40906,0.25916,0.17955,0.13208,0.90433,2.04078,1.01432,0.00107434,0.00107434,0.00107434
6,896.178,0.78954,1.66999,1.1915,0.31676,0.30569,0.2488,0.19088,0.91901,1.95752,1.02655,0.00106517,0.00106517,0.00106517
7,1039.83,0.76922,1.62083,1.17143,0.35214,0.31011,0.27387,0.21629,0.93947,1.7826,1.05986,0.00105601,0.00105601,0.00105601
8,1183.02,0.74768,1.57507,1.15315,0.34255,0.31549,0.27126,0.21027,0.89264,1.88823,1.00397,0.00104684,0.00104684,0.00104684
9,1324.33,0.7207,1.52631,1.14452,0.44187,0.35287,0.32023,0.24169,0.89825,1.7101,1.00145,0.00103767,0.00103767,0.00103767
10,1465.63,0.72544,1.51517,1.14734,0.35465,0.33595,0.27113,0.21235,0.85524,1.82349,0.9657,0.00102851,0.00102851,0.00102851
11,1607.33,0.71395,1.48641,1.13551,0.44792,0.32897,0.29959,0.23827,0.80647,1.70894,0.91547,0.00101934,0.00101934,0.00101934
12,1748.01,0.70581,1.46925,1.13383,0.48683,0.33682,0.32006,0.25965,0.83546,1.64129,0.98041,0.00101018,0.00101018,0.00101018
13,1889.44,0.70433,1.44843,1.12597,0.47447,0.35449,0.33653,0.26782,0.80206,1.57035,0.93985,0.00100101,0.00100101,0.00100101
14,2030.69,0.68702,1.41094,1.12194,0.37896,0.37399,0.33561,0.27062,0.81107,1.57973,0.93772,0.000991845,0.000991845,0.000991845
15,2174.41,0.69481,1.41968,1.12459,0.6892,0.31161,0.34859,0.27925,0.78292,1.56358,0.93269,0.000982679,0.000982679,0.000982679
16,2313.33,0.66517,1.36752,1.10418,0.47702,0.2631,0.23023,0.16174,1.00807,2.15367,1.19656,0.000973514,0.000973514,0.000973514
17,2455.26,0.67516,1.37528,1.11264,0.4215,0.38407,0.36474,0.29505,0.77225,1.47074,0.92738,0.000964348,0.000964348,0.000964348
18,2598.27,0.66817,1.36414,1.10514,0.38366,0.38789,0.3443,0.25292,0.84897,1.64269,0.99626,0.000955182,0.000955182,0.000955182
19,2738.03,0.65085,1.33442,1.09311,0.50461,0.35827,0.36415,0.29304,0.76191,1.47381,0.90163,0.000946016,0.000946016,0.000946016
20,2881.02,0.66447,1.33058,1.09526,0.37475,0.36654,0.31744,0.25105,0.79724,1.61305,0.92704,0.000936851,0.000936851,0.000936851
21,3025.31,0.66419,1.32584,1.09712,0.46946,0.42155,0.38682,0.31402,0.75385,1.39912,0.90432,0.000927685,0.000927685,0.000927685
22,3166.59,0.65172,1.29889,1.09024,0.41835,0.41916,0.367,0.29505,0.72518,1.46905,0.85925,0.000918519,0.000918519,0.000918519
23,3306.7,0.6464,1.28427,1.0856,0.4352,0.42393,0.38524,0.31441,0.75111,1.43075,0.90463,0.000909353,0.000909353,0.000909353
24,3449.31,0.63583,1.27188,1.07686,0.42236,0.41958,0.37847,0.30289,0.7117,1.40084,0.86246,0.000900188,0.000900188,0.000900188
25,3591.1,0.63791,1.27038,1.07186,0.51247,0.44089,0.4243,0.34521,0.73954,1.33028,0.89911,0.000891022,0.000891022,0.000891022
26,3735.28,0.64158,1.26188,1.08346,0.53969,0.40144,0.40602,0.33003,0.75067,1.40165,0.87638,0.000881856,0.000881856,0.000881856
27,3877.56,0.62621,1.26876,1.07409,0.4016,0.45332,0.41063,0.33874,0.70704,1.37102,0.86919,0.000872691,0.000872691,0.000872691
28,4018.01,0.62186,1.22811,1.06882,0.52576,0.43412,0.442,0.36879,0.67897,1.24861,0.84278,0.000863525,0.000863525,0.000863525
29,4156.66,0.62022,1.23237,1.07983,0.53818,0.45057,0.43666,0.36269,0.71457,1.28804,0.85923,0.000854359,0.000854359,0.000854359
30,4298.76,0.62356,1.22604,1.07105,0.4805,0.43886,0.42465,0.34599,0.6957,1.25469,0.8404,0.000845193,0.000845193,0.000845193
31,4440.73,0.61447,1.19971,1.07089,0.50244,0.46102,0.4342,0.35839,0.6964,1.25708,0.86148,0.000836027,0.000836027,0.000836027
32,4580.85,0.59938,1.19161,1.06617,0.56103,0.46357,0.46126,0.38284,0.68169,1.18584,0.84307,0.000826862,0.000826862,0.000826862
33,4719.01,0.60533,1.18444,1.06087,0.60306,0.40686,0.42285,0.34419,0.70137,1.30853,0.8521,0.000817696,0.000817696,0.000817696
34,4858.4,0.6021,1.1724,1.05912,0.54996,0.44542,0.46147,0.38754,0.68163,1.19693,0.85105,0.00080853,0.00080853,0.00080853
35,5002.81,0.59536,1.1489,1.0627,0.51973,0.47626,0.47527,0.39187,0.6812,1.16575,0.84598,0.000799365,0.000799365,0.000799365
36,5145.89,0.60318,1.15946,1.06187,0.55689,0.43559,0.46084,0.37616,0.67329,1.20625,0.83472,0.000790199,0.000790199,0.000790199
37,5286.48,0.60822,1.16067,1.06003,0.49532,0.45488,0.4514,0.37406,0.68017,1.22645,0.83935,0.000781033,0.000781033,0.000781033
38,5428.54,0.59418,1.15919,1.05701,0.49189,0.47124,0.45146,0.37343,0.65481,1.22153,0.80761,0.000771867,0.000771867,0.000771867
39,5569.31,0.5845,1.13731,1.04762,0.5522,0.46943,0.47614,0.39191,0.68107,1.16387,0.8532,0.000762702,0.000762702,0.000762702
40,5710.04,0.59908,1.12055,1.05581,0.56244,0.48633,0.4834,0.39948,0.63877,1.1176,0.81316,0.000753536,0.000753536,0.000753536
41,5850.56,0.59084,1.11881,1.05324,0.54684,0.48393,0.48059,0.40273,0.64792,1.10919,0.81905,0.00074437,0.00074437,0.00074437
42,5990.75,0.58945,1.1124,1.05234,0.62397,0.46591,0.48217,0.39901,0.65372,1.12441,0.82828,0.000735204,0.000735204,0.000735204
43,6130.73,0.58858,1.10179,1.04897,0.54388,0.51565,0.49976,0.4157,0.6511,1.08345,0.81978,0.000726038,0.000726038,0.000726038
44,6267.8,0.58761,1.10133,1.05112,0.56137,0.48124,0.48542,0.40718,0.65972,1.12168,0.82928,0.000716873,0.000716873,0.000716873
45,6407.45,0.58263,1.10144,1.04515,0.577,0.47331,0.50183,0.41461,0.6508,1.08093,0.82217,0.000707707,0.000707707,0.000707707
46,6546.85,0.57661,1.08708,1.04459,0.56121,0.48193,0.48686,0.40659,0.63478,1.08518,0.80394,0.000698541,0.000698541,0.000698541
47,6684.35,0.57294,1.07794,1.03529,0.57589,0.49715,0.50264,0.41594,0.64659,1.0897,0.81338,0.000689376,0.000689376,0.000689376
48,6824.96,0.583,1.07892,1.03924,0.62649,0.49504,0.51228,0.42595,0.63078,1.05149,0.80283,0.00068021,0.00068021,0.00068021
49,6966.02,0.57405,1.06683,1.03977,0.5662,0.51555,0.51506,0.42832,0.64593,1.04303,0.82482,0.000671044,0.000671044,0.000671044
50,7105.07,0.57358,1.07148,1.03942,0.60275,0.4809,0.50882,0.42305,0.63053,1.07665,0.81392,0.000661878,0.000661878,0.000661878
51,7244.03,0.55115,1.04238,1.0314,0.5637,0.51793,0.51634,0.42898,0.62597,1.02867,0.80464,0.000652712,0.000652712,0.000652712
52,7382.96,0.55861,1.03115,1.03115,0.55585,0.50548,0.50782,0.42419,0.63202,1.05459,0.81102,0.000643547,0.000643547,0.000643547
53,7524.31,0.55784,1.02778,1.03256,0.57766,0.52084,0.51912,0.43468,0.62485,1.02914,0.80799,0.000634381,0.000634381,0.000634381
54,7665.42,0.5561,1.03092,1.03469,0.55572,0.54368,0.52433,0.43957,0.61525,0.99622,0.79928,0.000625215,0.000625215,0.000625215
55,7808.29,0.5606,1.02521,1.03032,0.57821,0.52951,0.52162,0.43626,0.61972,0.99812,0.79754,0.000616049,0.000616049,0.000616049
56,7949.25,0.56205,1.02945,1.02673,0.55868,0.53401,0.52433,0.43864,0.61054,1.00557,0.792,0.000606884,0.000606884,0.000606884
57,8090.51,0.54593,0.99653,1.02274,0.58176,0.51703,0.53192,0.4452,0.61413,0.99248,0.78898,0.000597718,0.000597718,0.000597718
58,8233.08,0.54907,1.00437,1.02063,0.57238,0.53692,0.53655,0.44928,0.59892,0.97861,0.78111,0.000588552,0.000588552,0.000588552
59,8375.67,0.55679,1.01531,1.02802,0.57503,0.53959,0.54025,0.45399,0.60401,0.98537,0.78614,0.000579386,0.000579386,0.000579386
60,8516.79,0.54868,0.99784,1.03041,0.56697,0.51409,0.51549,0.43053,0.59788,1.02121,0.78182,0.000570221,0.000570221,0.000570221
61,8659.82,0.56152,0.99831,1.0316,0.5896,0.53483,0.54137,0.44958,0.61989,0.96302,0.8148,0.000561055,0.000561055,0.000561055
62,8802.64,0.53532,0.97057,1.02134,0.58384,0.53261,0.54416,0.45336,0.60527,0.97097,0.78481,0.000551889,0.000551889,0.000551889
63,8945.28,0.54901,0.98997,1.02523,0.64489,0.49292,0.54371,0.45817,0.59414,0.97661,0.7788,0.000542723,0.000542723,0.000542723
64,9087.29,0.54101,0.97223,1.02296,0.60611,0.53525,0.55191,0.46395,0.59188,0.94728,0.7804,0.000533558,0.000533558,0.000533558
65,9233.04,0.53673,0.95892,1.01755,0.59081,0.54254,0.55271,0.46118,0.58905,0.94317,0.77693,0.000524392,0.000524392,0.000524392
66,9372.99,0.54252,0.95781,1.01592,0.59628,0.5292,0.54758,0.46146,0.58552,0.9586,0.77306,0.000515226,0.000515226,0.000515226
