epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.937,1.08805,2.73821,1.28501,0.22409,0.30193,0.20655,0.13514,1.2494,2.88022,1.19076,0.000368047,0.000368047,0.000368047
2,257.428,1.04966,2.05212,1.2522,0.30223,0.2864,0.2505,0.18143,1.13403,2.53856,1.15842,0.000732289,0.000732289,0.000732289
3,370.003,1.02264,1.86906,1.2425,0.34862,0.28018,0.26638,0.18515,1.19936,2.42753,1.18919,0.00109042,0.00109042,0.00109042
4,490.495,1.0016,1.77217,1.23769,0.28711,0.28187,0.24925,0.16587,1.28035,2.15865,1.18296,0.0010835,0.0010835,0.0010835
5,607.184,0.97949,1.67914,1.22204,0.32898,0.32142,0.29154,0.18944,1.22384,2.17026,1.16463,0.00107434,0.00107434,0.00107434
6,718.686,0.95752,1.62963,1.2097,0.40801,0.32127,0.30256,0.20733,1.15128,2.0808,1.13404,0.00106517,0.00106517,0.00106517
7,831.274,0.93128,1.57693,1.19322,0.63565,0.32685,0.3506,0.25784,1.04958,1.89752,1.06497,0.00105601,0.00105601,0.00105601
8,941.439,0.92839,1.53592,1.18719,0.37659,0.33083,0.31635,0.22107,1.16607,1.8591,1.13434,0.00104684,0.00104684,0.00104684
9,1051.05,0.91136,1.50181,1.17511,0.5666,0.26936,0.27839,0.18038,1.45188,2.42953,1.37354,0.00103767,0.00103767,0.00103767
10,1162.68,0.90793,1.47886,1.17463,0.49308,0.36524,0.38217,0.28642,1.0357,1.71453,1.04558,0.00102851,0.00102851,0.00102851
11,1273.77,0.89475,1.44013,1.16263,0.5466,0.34825,0.39448,0.30306,1.02658,1.65096,1.0562,0.00101934,0.00101934,0.00101934
12,1385.24,0.88717,1.41611,1.16467,0.58368,0.36541,0.41634,0.31641,0.99303,1.56278,1.02013,0.00101018,0.00101018,0.00101018
13,1499.52,0.88551,1.41712,1.16186,0.49928,0.38915,0.39881,0.30192,1.01974,1.62839,1.03617,0.00100101,0.00100101,0.00100101
14,1609.09,0.8854,1.39959,1.15312,0.60654,0.3743,0.42729,0.3333,1.00847,1.53301,1.01255,0.000991845,0.000991845,0.000991845
15,1718.63,0.8623,1.36293,1.14713,0.47536,0.38897,0.39568,0.26321,1.15982,1.76994,1.16291,0.000982679,0.000982679,0.000982679
16,1828.73,0.84212,1.33706,1.13306,0.51271,0.42578,0.44278,0.34275,0.97272,1.50664,1.00819,0.000973514,0.000973514,0.000973514
17,1936.91,0.84651,1.34023,1.1374,0.4792,0.39041,0.44513,0.33959,0.98391,1.46553,1.00394,0.000964348,0.000964348,0.000964348
