epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,235.889,1.09795,2.77642,1.2901,0.28542,0.26785,0.20506,0.14771,1.13455,2.6537,1.12079,0.00995556,0.00331852,0.00995556,0.00331852,0.00995556,0.00331852,0.00995556,0.00331852
2,415.613,1.07889,2.10355,1.25632,0.33974,0.28166,0.19022,0.11658,1.34374,2.70549,1.39145,0.0197909,0.00659697,0.0197909,0.00659697,0.0197909,0.00659697,0.0197909,0.00659697
3,598.849,1.15128,2.0289,1.31626,0.14888,0.16593,0.09244,0.05146,1.65657,4.70072,1.71533,0.0294613,0.00982043,0.0294613,0.00982043,0.0294613,0.00982043,0.0294613,0.00982043
4,780.867,1.23724,2.06171,1.38865,0.4222,0.20636,0.15165,0.08801,1.49933,3.80859,1.51406,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
5,964.441,1.18074,1.94083,1.35261,0.26367,0.2483,0.19163,0.11543,1.39912,2.53136,1.446,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
6,1144.2,1.12909,1.84409,1.31845,0.21061,0.22108,0.18959,0.1197,1.33846,2.52845,1.34371,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
7,1325.53,1.0999,1.81268,1.30473,0.50954,0.27952,0.24496,0.16129,1.22167,2.27066,1.23396,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
8,1507.61,1.0612,1.74278,1.27963,0.35719,0.3205,0.29858,0.2033,1.16651,1.90644,1.21491,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
9,1684.26,1.05213,1.71076,1.26546,0.40387,0.33545,0.29954,0.2081,1.133,1.88629,1.19329,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
10,1863.29,1.03272,1.67496,1.25912,0.39752,0.32409,0.31435,0.2192,1.12174,1.8106,1.19056,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
11,2041.88,1.00803,1.63407,1.2376,0.5522,0.33746,0.34846,0.25143,1.08114,1.72539,1.15747,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
12,2223.16,1.00174,1.60668,1.22801,0.60414,0.33045,0.33769,0.23884,1.06059,1.75674,1.11617,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925
13,2401.47,0.98492,1.57159,1.21883,0.44845,0.34315,0.32568,0.23859,1.05392,1.79266,1.14361,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
14,2582.72,0.9693,1.5525,1.21406,0.43911,0.3824,0.37618,0.27924,0.97465,1.5809,1.07185,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275
15,2760.74,0.97162,1.53577,1.21174,0.62277,0.35339,0.36963,0.26812,1.02577,1.59498,1.09811,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
16,2942.62,0.9553,1.51981,1.20316,0.55988,0.3637,0.38814,0.28579,0.99218,1.56647,1.07515,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
17,3120.04,0.94319,1.48595,1.19304,0.63098,0.36429,0.38088,0.2769,1.00402,1.58903,1.0955,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
18,3302.11,0.92673,1.47576,1.18809,0.5993,0.38421,0.41243,0.30111,0.97431,1.49794,1.08379,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975
